Date,Year,Quarter,Spread_Empalmado_pb,Spread_Bonex_pb,EMBI_Brady_pb,EMBI_Plus_pb,Instrumento_Fuente,Regimen_Politico,Evento_Hito
1990-06-30,1990,2,3506.79,3600.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Gestión Erman González / Ajuste de caja
1990-09-30,1990,3,2630.09,2700.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Comienzo de estabilización monetaria
1990-12-31,1990,4,2045.63,2100.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Reversión paulatina de la desconfianza
1991-03-31,1991,1,1607.28,1650.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Asunción de Domingo Cavallo (Ene 1991)
1991-06-30,1991,2,1120.22,1150.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Ley de Convertibilidad del Austral (Ley 23.928)
1991-09-30,1991,3,954.63,980.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Fuerte remonetización y retorno de capitales
1991-12-31,1991,4,886.44,910.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Superávit de caja y ancla cambiaria 1 a 1
1992-03-31,1992,1,837.73,860.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Negociación del Plan Brady
1992-06-30,1992,2,789.03,810.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Firma preliminar del Acuerdo Brady (Abril 1992)
1992-09-30,1992,3,769.55,790.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Consolidación de la estabilidad cambiaria
1992-12-31,1992,4,740.32,760.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Cierre formal de la deuda Brady
1993-03-31,1993,1,740.32,,850.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Emisión de Bonos Brady Par y Discount
1993-06-30,1993,2,679.35,,780.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Ingreso pleno a mercados voluntarios
1993-09-30,1993,3,627.1,,720.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Auge de financiamiento externo
1993-12-31,1993,4,600.97,,690.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Pacto de Olivos / Reforma Constitucional
1994-03-31,1994,1,566.13,,650.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Suba de tasas de la Reserva Federal (Greenspan)
1994-06-30,1994,2,714.19,,820.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Restricción de liquidez internacional
1994-09-30,1994,3,775.16,,890.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Tensión preelectoral
1994-12-31,1994,4,827.42,,950.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Devaluación del Peso Mexicano (Efecto Tequila)
1995-03-31,1995,1,1524.19,,1750.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem I,Pánico financiero / Corrida de depósitos
1995-06-30,1995,2,1350.0,,1550.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Reelección de Menem / Creación de Redes de Seguridad
1995-09-30,1995,3,958.06,,1100.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Fondo Fiduciario Bancario y apoyo del FMI
1995-12-31,1995,4,801.29,,920.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Recuperación post-Tequila
1996-03-31,1996,1,705.48,,810.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Retorno de depósitos al sistema bancario
1996-06-30,1996,2,644.52,,740.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Salida de Cavallo / Asunción Roque Fernández
1996-09-30,1996,3,618.39,,710.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Emisión masiva de Bonos Globales
1996-12-31,1996,4,548.71,,630.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Crecimiento económico y acceso al crédito
1997-03-31,1997,1,452.9,,520.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Compresión histórica de spreads emergentes
1997-06-30,1997,2,374.52,,430.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Mínimo histórico del spread en la Convertibilidad
1997-09-30,1997,3,357.1,,410.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Máxima euforia financiera
1997-12-31,1997,4,540.0,,620.0,,JP Morgan EMBI Argentina (Brady Stripped Spread),Menem II,Crisis Financiera Asiática (Oct 1997)
1998-03-31,1998,1,540.0,,,540.0,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Menem II,Crisis Rusa y Devaluación de Brasil (1998-1999)
1998-06-30,1998,2,560.0,,,560.0,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Menem II,Crisis Rusa y Devaluación de Brasil (1998-1999)
1998-09-30,1998,3,980.0,,,980.0,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Menem II,Crisis Rusa y Devaluación de Brasil (1998-1999)
1998-12-31,1998,4,718.13,,,718.1333333333333,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Menem II,Crisis Rusa y Devaluación de Brasil (1998-1999)
1999-03-31,1999,1,756.73,,,756.728813559322,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Menem II,Crisis Rusa y Devaluación de Brasil (1998-1999)
1999-06-30,1999,2,683.28,,,683.28125,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Menem II,Recesión de la Convertibilidad
1999-09-30,1999,3,806.27,,,806.2727272727273,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Menem II,Recesión de la Convertibilidad
1999-12-31,1999,4,618.95,,,618.9545454545455,JP Morgan EMBI+ / EMBI Global Argentina Oficial,De la Rúa,Blindaje Financiero y Megacanje (2001)
2000-03-31,2000,1,550.92,,,550.9206349206349,JP Morgan EMBI+ / EMBI Global Argentina Oficial,De la Rúa,Blindaje Financiero y Megacanje (2001)
2000-06-30,2000,2,650.02,,,650.015625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,De la Rúa,Blindaje Financiero y Megacanje (2001)
2000-09-30,2000,3,670.16,,,670.15625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,De la Rúa,Blindaje Financiero y Megacanje (2001)
2000-12-31,2000,4,807.39,,,807.390625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,De la Rúa,Blindaje Financiero y Megacanje (2001)
2001-03-31,2001,1,750.27,,,750.265625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,De la Rúa,Blindaje Financiero y Megacanje (2001)
2001-06-30,2001,2,973.44,,,973.4375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,De la Rúa,Blindaje Financiero y Megacanje (2001)
2001-09-30,2001,3,1468.94,,,1468.9384615384615,JP Morgan EMBI+ / EMBI Global Argentina Oficial,De la Rúa,Blindaje Financiero y Megacanje (2001)
2001-12-31,2001,4,2947.64,,,2947.6363636363635,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Rodríguez Saá / Duhalde,Declaración de Default y Fin de la Convertibilidad
2002-03-31,2002,1,4433.59,,,4433.587301587301,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Rodríguez Saá / Duhalde,Declaración de Default y Fin de la Convertibilidad
2002-06-30,2002,2,5461.48,,,5461.476923076923,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Rodríguez Saá / Duhalde,Pico histórico del EMBI+ (6.658 pb)
2002-09-30,2002,3,6658.98,,,6658.984848484848,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Rodríguez Saá / Duhalde,Pico histórico del EMBI+ (6.658 pb)
2002-12-31,2002,4,6285.2,,,6285.2,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Rodríguez Saá / Duhalde,Pico histórico del EMBI+ (6.658 pb)
2003-03-31,2003,1,6340.81,,,6340.806451612903,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Rodríguez Saá / Duhalde,Pico histórico del EMBI+ (6.658 pb)
2003-06-30,2003,2,5174.03,,,5174.03265625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2003-09-30,2003,3,4953.22,,,4953.217121212121,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2003-12-31,2003,4,5800.85,,,5800.853230769231,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2004-03-31,2004,1,5626.29,,,5626.29359375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2004-06-30,2004,2,4864.85,,,4864.85140625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2004-09-30,2004,3,5214.98,,,5214.980454545454,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2004-12-31,2004,4,5172.65,,,5172.653181818182,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2005-03-31,2005,1,5042.18,,,5042.181746031746,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2005-06-30,2005,2,5009.51,,,5009.506153846154,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2005-09-30,2005,3,414.19,,,414.18666666666667,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2005-12-31,2005,4,423.45,,,423.45454545454544,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2006-03-31,2006,1,396.88,,,396.88153846153847,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Canje de Deuda 2005 y Cancelación FMI
2006-06-30,2006,2,353.81,,,353.81125000000003,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Superávits gemelos y desendeudamiento
2006-09-30,2006,3,339.26,,,339.264,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Superávits gemelos y desendeudamiento
2006-12-31,2006,4,282.69,,,282.686,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Superávits gemelos y desendeudamiento
2007-03-31,2007,1,210.22,,,210.224375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Superávits gemelos y desendeudamiento
2007-06-30,2007,2,268.48,,,268.47640625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Superávits gemelos y desendeudamiento
2007-09-30,2007,3,414.15,,,414.1538461538461,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Kirchner,Superávits gemelos y desendeudamiento
2007-12-31,2007,4,387.78,,,387.7846153846154,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Crisis Financiera Global (Lehman 2008)
2008-03-31,2008,1,481.67,,,481.671875,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Crisis Financiera Global (Lehman 2008)
2008-06-30,2008,2,556.72,,,556.723076923077,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Crisis Financiera Global (Lehman 2008)
2008-09-30,2008,3,695.27,,,695.2727272727273,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Crisis Financiera Global (Lehman 2008)
2008-12-31,2008,4,1696.56,,,1696.5555555555557,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Crisis Financiera Global (Lehman 2008)
2009-03-31,2009,1,1696.86,,,1696.857142857143,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Crisis Financiera Global (Lehman 2008)
2009-06-30,2009,2,1454.27,,,1454.265625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2009-09-30,2009,3,923.71,,,923.7121212121212,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2009-12-31,2009,4,716.6,,,716.6,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2010-03-31,2010,1,734.37,,,734.3709677419355,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2010-06-30,2010,2,734.86,,,734.859375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2010-09-30,2010,3,712.58,,,712.5757575757576,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2010-12-31,2010,4,545.12,,,545.1212121212121,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2011-03-31,2011,1,531.3,,,531.296875,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2011-06-30,2011,2,574.31,,,574.3125,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2011-09-30,2011,3,730.48,,,730.4848484848485,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2011-12-31,2011,4,909.91,,,909.9076923076924,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2012-03-31,2012,1,833.94,,,833.9384615384615,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2012-06-30,2012,2,1065.36,,,1065.359375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2012-09-30,2012,3,1020.57,,,1020.5692307692308,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2012-12-31,2012,4,1039.49,,,1039.4923076923078,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2013-03-31,2013,1,1124.02,,,1124.016129032258,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2013-06-30,2013,2,1199.35,,,1199.3538461538462,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2013-09-30,2013,3,1093.44,,,1093.439393939394,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2013-12-31,2013,4,851.97,,,851.9692307692308,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2014-03-31,2014,1,926.67,,,926.6666666666666,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Canje 2010 y Cepo Cambiario
2014-06-30,2014,2,783.66,,,783.65625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Fallo Juez Griesa / Holdouts
2014-09-30,2014,3,710.3,,,710.3030303030303,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Fallo Juez Griesa / Holdouts
2014-12-31,2014,4,728.63,,,728.6307692307693,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Fallo Juez Griesa / Holdouts
2015-03-31,2015,1,668.52,,,668.5238095238095,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Fallo Juez Griesa / Holdouts
2015-06-30,2015,2,597.65,,,597.6461538461539,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Fallo Juez Griesa / Holdouts
2015-09-30,2015,3,585.26,,,585.2575757575758,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández de Kirchner,Fallo Juez Griesa / Holdouts
2015-12-31,2015,4,506.98,,,506.9846153846154,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2016-03-31,2016,1,468.7,,,468.6984126984127,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2016-06-30,2016,2,501.48,,,501.4769230769231,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2016-09-30,2016,3,482.33,,,482.3333333333333,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2016-12-31,2016,4,473.57,,,473.5692307692308,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2017-03-31,2017,1,457.65,,,457.6461538461538,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2017-06-30,2017,2,417.31,,,417.3125,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2017-09-30,2017,3,411.48,,,411.484375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2017-12-31,2017,4,360.23,,,360.234375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2018-03-31,2018,1,390.92,,,390.9193548387097,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Salida del Default / Acuerdo Holdouts (2016)
2018-06-30,2018,2,470.06,,,470.0615384615385,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Crisis Cambiaria y Acuerdo Stand-By FMI
2018-09-30,2018,3,638.55,,,638.5538461538462,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Crisis Cambiaria y Acuerdo Stand-By FMI
2018-12-31,2018,4,692.14,,,692.1384615384616,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Crisis Cambiaria y Acuerdo Stand-By FMI
2019-03-31,2019,1,709.6,,,709.6031746031746,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Crisis Cambiaria y Acuerdo Stand-By FMI
2019-06-30,2019,2,883.11,,,883.109375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Crisis Cambiaria y Acuerdo Stand-By FMI
2019-09-30,2019,3,1493.83,,,1493.8333333333333,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Macri,Shock PASO 2019 / Reperfilamiento
2019-12-31,2019,4,2158.28,,,2158.276923076923,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Pandemia COVID-19 y Reestructuración 2020
2020-03-31,2020,1,2460.59,,,2460.5873015873017,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Pandemia COVID-19 y Reestructuración 2020
2020-06-30,2020,2,3103.0,,,3103.0,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Pandemia COVID-19 y Reestructuración 2020
2020-09-30,2020,3,1996.83,,,1996.8333333333333,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Pandemia COVID-19 y Reestructuración 2020
2020-12-31,2020,4,1391.8,,,1391.8,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Pandemia COVID-19 y Reestructuración 2020
2021-03-31,2021,1,1492.19,,,1492.190476190476,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Pandemia COVID-19 y Reestructuración 2020
2021-06-30,2021,2,1547.52,,,1547.515625,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2021-09-30,2021,3,1568.11,,,1568.1060606060605,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2021-12-31,2021,4,1711.8,,,1711.8030303030305,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2022-03-31,2022,1,1809.57,,,1809.571428571429,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2022-06-30,2022,2,1927.75,,,1927.75,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2022-09-30,2022,3,2520.63,,,2520.630769230769,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2022-12-31,2022,4,2443.18,,,2443.1774193548385,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2023-03-31,2023,1,2080.68,,,2080.6769230769232,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2023-06-30,2023,2,2465.48,,,2465.476923076923,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2023-09-30,2023,3,2104.22,,,2104.222222222222,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Fernández,Programa Facilidades Extendidas FMI
2023-12-31,2023,4,2257.75,,,2257.753846153846,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
2024-03-31,2024,1,1786.88,,,1786.876923076923,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
2024-06-30,2024,2,1340.12,,,1340.123076923077,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
2024-09-30,2024,3,1484.55,,,1484.5454545454545,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
2024-12-31,2024,4,870.36,,,870.3636363636364,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
2025-03-31,2025,1,684.0,,,684.0,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
2025-06-30,2025,2,726.7,,,726.7049180327868,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
2025-09-30,2025,3,862.34,,,862.34375,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
2025-12-31,2025,4,745.03,,,745.030303030303,JP Morgan EMBI+ / EMBI Global Argentina Oficial,Milei,Ajuste Fiscal de Shock y Compresión de Riesgo País
